cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
55910-10-6,"Glycine, N- [(heptadecafluorooctyl)sulfonyl]-N- propyl-, potassium salt",yes,,,,
56189-09-4,Lead stearate,yes,10,,,
56372-23-7,"Poly(oxy-1,2-ethanediyl), α-[2- [ethyl[(tridecafluorohexyl)sulfonyl]amino ]ethyl]-ω-hydroxy-",yes,,,,
56773-42-3,"Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-1-octanesulfonic acid (1:1)",yes,,,,
57117-31-4,"2,3,4,7,8-pentachlorodibenzofuran",yes,,,,
57117-41-6,"1,2,3,7,8-pentachlorodibenzofuran",yes,,,,
57117-44-9,"1,2,3,6,7,8-hexachlorodibenzofuran",yes,,,,
57213-69-1,Triclopyr-triethylammonium salt,yes,,,,
57653-85-7,"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin",yes,,,,
57835-92-4,4–Nitropyrene,yes,,,,
58270-08-9,"Zinc, dichloro(4,4-dimethyl- 5((((methylamino)carbonyl)oxy)imino)pe ntanenitrile)-, (T-4)-",yes,,,,100
59071-10-2,"2-Propenoic acid, 2- [ethyl[(pentadecafluoroheptyl)sulfonyl]a mino]ethyl ester",yes,,,,
59587-38-1,6:2 Fluorotelomer sulfonate potassium salt,yes,,,,
59587-39-2,6:2 Fluorotelomer sulfonate ammonium salt,yes,,,,
59669-26-0,Thiodicarb,yes,100,U410,,
60168-88-9,Fenarimol,yes,,,,
60207-90-1,Propiconazole,yes,,,,
60270-55-5,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7- pentadecafluoro-, potassium salt",yes,,,,
60699-51-6,"1-Hexadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,15,15,16,16,16- nonacosafluoro-",yes,,,,
60851-34-5,"2,3,4,6,7,8-hexachlorodibenzofuran",yes,,,,
61660-12-6,"1-Octanesulfonamide, N-ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-N-[3- (trimethoxysilyl)propyl]-",yes,,,,
61792-07-2,"2,4,5-T esters",yes,1000,,,
61798-68-3,"Pyridinium, 1- (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl)-, salt with 4- methylbenzenesulfonic acid (1:1)",yes,,,,
62037-80-3,Hexafluoropropylene oxide dimer acid ammonium salt,yes,,,,
62207-76-5,"Cobalt, ((2,2'-(1,2- ethanediylbis(nitrilomethylidyne))bis(6- fluorophenylato))(2-)-N,N',O,O')-",yes,,,,100
62476-59-9,"Acifluorfen, sodium salt",yes,,,,
63938-10-3,Chlorotetrafluoroethane,yes,,,,
64902-72-3,Chlorsulfuron,yes,,,,
64969-34-2,"3,3'-Dichlorobenzidine sulfate",yes,,,,
65104-45-2,"2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl 2-methyl-2- propenoate, methyl 2-methyl-2- propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,14- pentacosafluorotetradecyl 2-methyl-2- propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,8- tridecafluorooctyl 2-methyl-2- propenoate",yes,,,,
65104-65-6,"1-Eicosanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,15,15,16,16,17,17,1 8,18,19,19,20,20,20- heptatriacontafluoro-",yes,,,,
65104-67-8,"1-Octadecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,15,15,16,16,17,17,1 8,18,18-tritriacontafluoro-",yes,,,,
65510-55-6,"Hexadecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10, 10,11,11,12,12,13,13,14,14- nonacosafluoro-16-iodo-",yes,,,,
65530-59-8,"Poly(difluoromethylene), α-fluoro-ω-(2- hydroxyethyl)-, 2-hydroxy-1,2,3- propanetricarboxylate (3:1)",yes,,,,
65530-61-2,"Poly(difluoromethylene), α-fluoro-ω-[2- (phosphonooxy)ethyl]-",yes,,,,
65530-62-3,"Poly(difluoromethylene), α,α'- [phosphinicobis(oxy-2,1- ethanediyl)]bis[ω-fluoro-",yes,,,,
65530-63-4,"Ethanol, 2,2'-iminobis-, compd. with α- fluoro-ω-[2- (phosphonooxy)ethyl]poly(difluoromethy lene) (2:1)",yes,,,,
65530-64-5,"Ethanol, 2,2'-iminobis-, compd. with α,α'- [phosphinicobis(oxy-2,1- ethanediyl)]bis[ω- fluoropoly(difluoromethylene)] (1:1)",yes,,,,
65530-65-6,"Poly(difluoromethylene), α-fluoro-ω-[2- [(1-oxooctadecyl)oxy]ethyl]-",yes,,,,
65530-66-7,"Poly(difluoromethylene), α-fluoro-ω-[2- [(2-methyl-1-oxo-2-propenyl)oxy]ethyl]-",yes,,,,
65530-69-0,"Poly(difluoromethylene), α-[2-[(2- carboxyethyl)thio]ethyl]-ω-fluoro-, lithium salt",yes,,,,
65530-70-3,"Poly(difluoromethylene), α,α'- [phosphinicobis(oxy-2,1- ethanediyl)]bis[ω-fluoro-, ammonium salt",yes,,,,
65530-71-4,"Poly(difluoromethylene), α-fluoro-ω-[2- (phosphonooxy)ethyl]-, monoammonium salt",yes,,,,
65530-72-5,"Poly(difluoromethylene), α-fluoro-ω-[2- (phosphonooxy)ethyl]-, diammonium salt",yes,,,,
65530-74-7,"Ethanol, 2,2'-iminobis-, compd. with α- fluoro-ω-[2- (phosphonooxy)ethyl]poly(difluoromethy lene) (1:1)",yes,,,,
65530-83-8,"Poly(difluoromethylene), α-[2-[(2- carboxyethyl)thio]ethyl]-ω-fluoro-",yes,,,,
65545-80-4,"Poly(oxy-1,2-ethanediyl), α-hydro-ω- hydroxy-, ether with α-fluoro-ω-(2- hydroxyethyl)poly(difluoromethylene) (1:1)",yes,,,,
65605-56-3,"Poly(difluoromethylene), α-fluoro-ω-(2- hydroxyethyl)-, dihydrogen 2-hydroxy- 1,2,3-propanetricarboxylate",yes,,,,
65605-57-4,"Poly(difluoromethylene), α-fluoro-ω-(2- hydroxyethyl)-, hydrogen 2-hydroxy- 1,2,3-propanetricarboxylate",yes,,,,
65605-58-5,"2-Propenoic acid, esters, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω- [2-[(2-methyl-1-oxo-2-propen-1- yl)oxy]ethyl]poly(difluoromethylene)",yes,,,,
65605-59-6,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2- methyl-1-oxo-2-propen-1- yl)oxy]ethyl]poly(difluoromethylene) and N-(hydroxymethyl)-2-propenamide",yes,,U068,,
65605-73-4,"Poly(difluoromethylene), α-fluoro-ω-[2- [(1-oxo-2-propenyl)oxy]ethyl]-, homopolymer",yes,,,,
65636-35-3,"Ethanaminium, N,N-diethyl-N-methyl-2- [(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2- ethylhexyl 2-methyl-2- propenoate, α- fluoro-ω-[2-[(2-methyl-1-oxo-2- propenyl)oxy]ethyl]poly(difluoromethyle ne), 2-hydroxyethyl 2-methyl-2- propenoate and N-(hydroxymethyl)-2- propenamide",yes,,,,
66441-23-4,Fenoxaprop-ethyl,yes,,,,
67485-29-4,Hydramethylnon,yes,,,,
67562-39-4,"1,2,3,4,6,7,8-heptachlorodibenzofuran",yes,,,,
67584-42-3,"Cyclohexanesulfonic acid, decafluoro(pentafluoroethyl)-, potassium salt",yes,,,,
67584-52-5,"Glycine, N-ethyl-N- [(undecafluoropentyl)sulfonyl]-, potassium salt",yes,,,,
67584-53-6,"Glycine, N-ethyl-N- [(tridecafluorohexyl)sulfonyl]-, potassium salt",yes,,,,
67584-56-9,"2-Propenoic acid, 2- [methyl[(undecafluoropentyl)sulfonyl]am ino]ethyl ester",yes,,,,
67584-57-0,"2-Propenoic acid, 2- [methyl[(tridecafluorohexyl)sulfonyl]ami no]ethyl ester",yes,,,,
67584-58-1,"1-Propanaminium, N,N,N-trimethyl-3- [[(pentadecafluoroheptyl)sulfonyl]amino] , iodide",yes,,,,
67584-62-7,"Glycine, N-ethyl-N- [(pentadecafluoroheptyl)sulfonyl]-, potassium salt",yes,,,,
67905-19-5,Perfluoropalmitic acid,yes,,,,
67906-42-7,"1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10 ,10-heneicosafluoro-, ammonium salt",yes,,,,
67969-69-1,"1-Octanesulfonamide, N-ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-N-[2- (phosphonooxy)ethyl]-, diammonium salt",yes,,,,
68084-62-8,"2-Propenoic acid, 2- [methyl[(pentadecafluoroheptyl)sulfonyl] amino]ethyl ester",yes,,,,
68085-85-8,Cyhalothrin,yes,,,,
68140-18-1,"Thiols, C4-10, γ-ω-perfluoro",yes,,,,
68140-20-5,"Thiols, C6-12, γ-ω-perfluoro",yes,,,,
68140-21-6,"Thiols, C10-20, γ-ω-perfluoro",yes,,,,
68141-02-6,Chromium(III) perfluorooctanoate,yes,,,,
68156-01-4,"Cyclohexanesulfonic acid, nonafluorobis(trifluoromethyl)-, potassium salt",yes,,,,
68156-07-0,"Cyclohexanesulfonic acid, decafluoro(trifluoromethyl)-, potassium salt",yes,,U115,,
68187-25-7,"Butanoic acid, 4-[[3- (dimethylamino)propyl]amino]-4-oxo-, 2(or 3)-[(γ-ω-perfluoro-C6-20-alkyl)thio] derivs.",yes,,,,
68187-47-3,"1-Propanesulfonic acid, 2-methyl-, 2-[[1- oxo-3-[(γ-ω-perfluoro-C4-16- alkyl)thio]propyl]amino] derivs., sodium salts",yes,,,,
68188-12-5,"Alkyl iodides, C4-20, γ-ω-perfluoro",yes,,,,
68227-96-3,"2-Propenoic acid, butyl ester, telomer with 2- [[(heptadecafluorooctyl)sulfonyl]methyla mino]ethyl 2-propenoate, 2- [methyl[(nonafluorobutyl)sulfonyl]amino] ethyl 2-propenoate, α-(2- methyl-1-oxo- 2-propenyl)-ω-hydroxypoly(oxy-1,4- butanediyl), α-(2- methyl-1-oxo-2- propenyl)-ω-[(2-methyl-1-oxo-2- propenyl)oxy]poly(oxy-1,4-butanediyl), 2- [methyl [(pentadecafluoroheptyl)sulfonyl]amino] ethyl 2-propenoate, 2- [methyl[(tridecafluorohexyl)sulfonyl]ami no]ethyl 2-propenoate, 2- [methyl[(undecafluoropentyl)sulfonyl]am ino]ethyl 2-propenoate and 1- octanethiol",yes,,,,
68239-43-0,"2-Propenoic acid, 2-methyl-, 2- ethylhexyl ester, polymer with α-fluoro- ω-[2-[(2-methyl-1-oxo-2-propen-1- yl)oxy]ethyl]poly(difluoromethylene), 2- hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide",yes,,,,
68259-07-4,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7- pentadecafluoro-, ammonium salt",yes,,,,
68259-08-5,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, ammonium salt",yes,,,,
68259-09-6,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, ammonium salt",yes,,,,
68259-38-1,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2- [ethyl[(tridecafluorohexyl)sulfonyl]amino ]ethyl]-ω-hydroxy-",yes,,,,
68259-39-2,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2- [ethyl[(pentadecafluoroheptyl)sulfonyl]a mino]ethyl]-ω-hydroxy-",yes,,,,
68298-62-4,"2-Propenoic acid, 2- [butyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl ester, telomer with 2- [butyl[(pentadecafluoroheptyl)sulfonyl]a mino]ethyl 2-propenoate, methyloxirane polymer with oxirane di-2-propenoate, methyloxirane polymer with oxirane mono-2-propenoate and 1-octanethiol",yes,,,,
68298-80-6,"Poly(oxy-1,2-ethanediyl), α-[2- [ethyl[(undecafluoropentyl)sulfonyl]amin o]ethyl]-ω-hydroxy-",yes,,,,
68298-81-7,"Poly(oxy-1,2-ethanediyl), α-[2- [ethyl[(pentadecafluoroheptyl)sulfonyl]a mino]ethyl]-ω-hydroxy-",yes,,,,
68310-17-8,"Poly[oxy(methyl-1,2-ethanediyl)], α-[2- [ethyl[(undecafluoropentyl)sulfonyl]amin o]ethyl]-ω-hydroxy-",yes,,,,
68359-37-5,Cyfluthrin,yes,,,,
68391-08-2,"Alcohols, C8-14, γ-ω-perfluoro",yes,,U006,,
68412-54-4,"Poly(oxy-1,2-ethanediyl), α- (nonylphenyl)-ω-hydroxy-, branched",yes,,,,
68412-68-0,"Phosphonic acid, perfluoro-C6-12-alkyl derivs.",yes,,,,
68412-69-1,"Phosphinic acid, bis(perfluoro-C6-12- alkyl) derivs.",yes,,,,
68515-48-0,"Di(C8–10, C9 rich) branched alkyl phthalates",yes,,,,
68515-62-8,"1,4-Benzenedicarboxylic acid, dimethyl ester, reaction products with bis(2- hydroxyethyl) terephthalate, ethylene glycol, α-fluoro-ω-(2- hydroxyethyl)poly(difluoromethylene), hexakis(methoxymethyl)melamine and polyethylene glycol",yes,,,,
68555-74-8,"1-Pentanesulfonamide, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-N-(2- hydroxyethyl)-N-methyl-",yes,,,,
68555-75-9,"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N- (2- hydroxyethyl)-N-methyl-",yes,,,,
68555-76-0,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7- pentadecafluoro-N-(2-hydroxyethyl)-N- methyl-",yes,,,,
68555-81-7,"1-Propanaminium, N,N,N-trimethyl-3- [[(pentadecafluoroheptyl)sulfonyl]amino] , chloride",yes,,,,
68555-91-9,"2-Propenoic acid, 2-methyl-, 2- [ethyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl ester, polymer with 2- [ethyl[(nonafluorobutyl)sulfonyl]amino]et hyl-methyl-2-propenoate, 2- [ethyl[(pentadecafluoroheptyl)sulfonyl]a mino]ethyl 2-methyl-2-propenoate, 2- [ethyl[(tridecafluorohexyl)sulfonyl]amino ]ethyl 2-methyl- 2-propenoate, 2- [ethyl[(undecafluoropentyl)sulfonyl]amin o]ethyl 2-methyl-2-propenoate and octadecyl 2-methyl-2-propenoate",yes,,,,
68758-57-6,"1-Tetradecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,14-pentacosafluoro-",yes,,,,
68867-60-7,"2-Propenoic acid, 2- [[(heptadecafluorooctyl)sulfonyl]methyla mino]ethyl ester, polymer with 2-[methyl [(nonafluorobutyl)sulfonyl]amino]ethyl 2- propenoate, 2- [methyl[(pentadecafluoroheptyl)sulfonyl] amino]ethyl 2- propenoate, 2- [methyl[(tridecafluorohexyl)sulfonyl]ami no]ethyl 2- propenoate, 2- [methyl[(undecafluoropentyl)sulfonyl]am ino]ethyl 2- propenoate and α-(1-oxo-2- propenyl)-ω-methoxypoly(oxy-1,2- ethanediyl)",yes,,,,
68957-55-1,"1-Propanaminium, N,N,N-trimethyl-3- [[(undecafluoropentyl)sulfonyl]amino]-, chloride",yes,,,,
68957-57-3,"1-Propanaminium, N,N,N-trimethyl-3- [[(undecafluoropentyl)sulfonyl]amino]-, iodide",yes,,,,
68957-58-4,"1-Propanaminium, N,N,N-trimethyl-3- [[(tridecafluorohexyl)sulfonyl]amino]-, iodide",yes,,,,
68957-62-0,"1-Heptanesulfonamide, N-ethyl- 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7- pentadecafluoro-",yes,,,,
68958-60-1,"Poly(oxy-1,2-ethanediyl), α-[2- [ethyl[(pentadecafluoroheptyl)sulfonyl]a mino]ethyl]-ω-methoxy-",yes,,,,
68958-61-2,"Poly(oxy-1,2-ethanediyl), α-[2- [ethyl[(heptadecafluorooctyl)sulfonyl]am ino]ethyl]-ω-methoxy-",yes,,,,
69409-94-5,Fluvalinate,yes,,,,
69806-50-4,Fluazifop-butyl,yes,,,,
70225-14-8,"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-, compd. with 2,2'- iminobis[ethanol] (1:1)",yes,,,,
70225-15-9,"1-Heptanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7- pentadecafluoro-, compd. with 2,2'- iminobis[ethanol] (1:1)",yes,,,,
70225-16-0,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)",yes,,,,
70225-17-1,"1-Pentanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,5-undecafluoro-, compd. with 2,2'-iminobis[ethanol] (1:1)",yes,,,,
70648-26-9,"1,2,3,4,7,8-hexachlorodibenzofuran",yes,,,,
70969-47-0,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide",yes,,,,
70983-59-4,"Poly(oxy-1,2-ethanediyl), α-methyl-ω- hydroxy-, 2-hydroxy-3-[(γ-ω-perfluoro- C6-20-alkyl)thio]propyl ethers",yes,,,,
70983-60-7,"1-Propanaminium, 2-hydroxy-N,N,N- trimethyl-, 3-[(γ-ω-perfluoro-C6-20- alkyl)thio] derivs., chlorides",yes,,,,
71549-78-5,Branched dinonyl phthalate,yes,,,,
71608-60-1,"Pentanoic acid, 4,4-bis[(γ-ω-perfluoro- C8-20-alkyl)thio] derivs.",yes,,,,
71751-41-2,Abamectin,yes,,,,
72178-02-0,Fomesafen,yes,,,,
72490-01-8,Fenoxycarb,yes,,,,
72623-77-9,"Fatty acids, C6-18, perfluoro, ammonium salts",yes,,,,
72918-21-9,"1,2,3,7,8,9-hexachlorodibenzofuran",yes,,,,
72968-38-8,"Fatty acids, C7-13, perfluoro, ammonium salts",yes,,,,
74051-80-2,Sethoxydim,yes,,,,
74499-44-8,"Phosphoric acid, γ-ω-perfluoro-C8-16- alkyl esters, compds. with diethanolamine",yes,,,,
75790-84-0,"4-Methyldiphenylmethane-3,4- diisocyanate",yes,,,,
75790-87-3,"2,4'-Diisocyanatodiphenyl sulfide",yes,,,,
76578-14-8,Quizalofop-ethyl,yes,,,,
77501-63-4,Lactofen,yes,,,,
78560-44-8,"Silane, trichloro(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,1 0,10-heptadecafluorodecyl)-",yes,,,,
80010-37-3,"Poly(difluoromethylene), α-fluoro-ω-[2- sulphoethyl)-",yes,,,,
82113-65-3,"1,1,1-Trifluoro-N- [(trifluoromethyl)sulfonyl] methanesulfonamide",yes,,,,
82657-04-3,Bifenthrin,yes,,,,
83048-65-1,"Silane, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl)trimethoxy-",yes,,,,
84852-15-3,"4-Nonylphenol, branched",yes,,,,
88671-89-0,Myclobutanil,yes,,,,
90076-65-6,Lithium bis[(trifluoromethyl)sulfonyl] azanide,yes,,,,
90454-18-5,"Dichloro-1,1,2-trifluoroethane",yes,,,,
90481-04-2,"Nonylphenol, branched",yes,,,,
90982-32-4,Chlorimuron-ethyl,yes,,,,
95144-12-0,"Poly(difluoromethylene), α-fluoro-ω-[2- (phosphonooxy)ethyl]-, ammonium salt",yes,,,,
97553-95-2,"Thiocyanic acid, γ-ω-perfluoro-C4-20- alkyl esters",yes,,,,
97659-47-7,"Alkenes, C8-14 α-, δ-ω-perfluoro",yes,,,,
101200-48-0,Tribenuron-methyl,yes,,,,
111512-56-2,"1,1-Dichloro-1,2,3,3,3- pentafluoropropane",yes,,,,
111983-10-9,"Bis(3-ethylheptan-2-yl) benzene-1,2- dicarboxylate",yes,,,,
111984-09-9,"3,3'-Dimethoxybenzidine monohydrochloride",yes,,,,
118400-71-8,"Disulfides, bis(γ-ω-perfluoro-C6-20- alkyl)",yes,,,,
123171-68-6,"Poly(difluoromethylene), α-[2- (acetyloxy)-3- [(carboxymethyl)dimethylammonio]prop yl]-ω-fluoro-, inner salt",yes,,,,
125476-71-3,"Silicic acid (H4SiO4), disodium salt, reaction products with chlorotrimethylsilane and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluoro-1-decanol",yes,,,,
127087-87-0,"Poly(oxy-1,2-ethanediyl), α-(4- nonylphenyl)-ω-hydroxy-, branched",yes,,,,
127564-92-5,Dichloropentafluoropropane,yes,,,,
128903-21-9,"2,2-Dichloro-1,1,1,3,3- pentafluoropropane",yes,,,,
134190-37-7,Diethyldiisocyanatobenzene,yes,,,,
135228-60-3,"Hexane, 1,6-diisocyanato-, homopolymer, γ-ω-perfluoro-C6-20-alc.- blocked",yes,,,,
136013-79-1,"1,3-Dichloro-1,1,2,3,3- pentafluoropropane",yes,,,,
142636-88-2,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,12-heneicosafluorododecyl 2- propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11, 12,12,13,13,14,14,14- pentacosafluorotetradecyl 2-propenoate",yes,,,,
143372-54-7,"Siloxanes and Silicones, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether",yes,,,,
148240-85-1,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro- C4-10-alkyl)thio]methyl] derivs., phosphates, ammonium salts",yes,,,,
148240-87-3,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro- C6-12-alkyl)thio]methyl] derivs., phosphates, ammonium salts",yes,,,,
148240-89-5,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro- C10-20-alkyl)thio]methyl] derivs., phosphates, ammonium salts",yes,,U140,,
150135-57-2,"2-Propenoic acid, 2-methyl-, 2- (dimethylamino)ethyl ester, polymers with Bu acrylate, γ-ω-perfluoro-C8-14- alkyl acrylate and polyethylene glycol monomethacrylate, 2,2'-azobis[2,4- dimethylpentanenitrile]- initiated",yes,,,,
178094-69-4,"1-Octanesulfonamide, N-[3- (dimethyloxidoamino)propyl]- 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8- heptadecafluoro-, potassium salt",yes,,,,
178535-23-4,"Fatty acids, linseed-oil, γ-ω-perfluoro- C8-14-alkyl esters",yes,,,,
180582-79-0,"Sulfonic acids, C6-12-alkane, γ-ω- perfluoro, ammonium salts",yes,,,,
182176-52-9,"Ethaneperoxoic acid, reaction products with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl thiocyanate and 3,3,4,4,5,5,6,6,7,7,8,8,8- tridecafluorooctyl thiocyanate",yes,,,,
196316-34-4,"2-Propenoic acid, 2-methyl-, 2- (dimethylamino)ethyl ester, polymers with γ-ω-perfluoro-C10-16-alkyl acrylate and vinyl acetate, acetates",yes,,U159,,
200513-42-4,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10- heptadecafluorodecyl 2-propenoate, 2- hydroxyethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate",yes,,,,
203743-03-7,"2-Propenoic acid, 2-methyl-, hexadecyl ester, polymers with 2-hydroxyethyl methacrylate, γ-ω-perfluoro-C10-16- alkyl acrylate and stearyl methacrylate",yes,,,,
238420-68-3,"Propanedioic acid, mono(γ-ω-perfluoro- C8-12-alkyl) derivs., di-me esters",yes,,,,
238420-80-9,"Propanedioic acid, mono(γ-ω-perfluoro- C8-12-alkyl) derivs., bis[4- (ethenyloxy)butyl] esters",yes,,U227,,
425670-75-3,6:2 Fluorotelomer sulfonate anion,yes,,,,
1078142-10-5,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro- C6-12-alkyl)thio]methyl] derivs., polymers with 2,2-bis[[(γ-ω-perfluoro- C10-20-alkyl)thio]methyl]-1,3- propanediol, 1,6-diisocyanato-2,2,4(or 2,4,4)-trimethylhexane, 2-heptyl-3,4- bis(9-isocyanatononyl)-1- pentylcyclohexane and 2,2'- (methylimino)bis[ethanol]",yes,,,,
1078712-88-5,"Thiols, C4-20, γ-ω-perfluoro, telomers with acrylamide and acrylic acid, sodium salts",yes,,,,
1078715-61-3,"1-Propanaminium, 3-amino-N- (carboxymethyl)-N,N-dimethyl-, N-[2-[(γ- ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts",yes,,,,
2728655-42-1,"Alcohols, C8-16, γ-ω-perfluoro, reaction products with 1,6 diisocyanatohexane, glycidol and stearyl alc.",yes,,U008,,
2738952-61-7,"Acetamide, N-[3-(dimethylamino)propyl]- , 2-[(γ-ω-perfluoro-C4-20-alkyl)thio] derivs.",yes,,,,
2742694-36-4,"Acetamide, N-(2-aminoethyl)-, 2-[(γ-ω- perfluoro-C4-20-alkyl)thio] derivs., polymers with N1,N1-dimethyl-1,3- propanediamine, epichlorohydrin and ethylenediamine, oxidized",yes,,,,
2744262-09-5,"Acetic acid, 2-[(γ-ω-perfluoro-C4-20- alkyl)thio] derivs., 2-hydroxypropyl esters",yes,,,,
2816091-53-7,"Betaines, dimethyl(.gamma.-.omega.- perfluoro-.gamma.-hydro-C8-18-alkyl)",yes,,,,
3030471-22-5,"Acetic acid, [(γ-ω-perfluoro-C8-10- alkyl)thio] derivs., Bu esters",yes,,,,
