cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
95-63-6,1-2-4-Trimethylbenzene,yes,,,,
95-69-2,p-Chloro-o-toluidine,yes,,,,
95-80-7,2-4-Diaminotoluene,yes,10,,,
95-94-3,1-2-4-5-Tetrachlorobenzene,yes,5000,U207,,
95-95-4,2-4-5-Trichlorophenol,yes,10,,,
96-09-3,Styrene oxide,yes,100,,,
96-12-8,1-2-Dibromo-3-chloropropane,yes,1,U066,,
96-18-4,"1,2,3-Trichloropropane",yes,,,,
96-22-0,3-Pentanone,yes,,,,
96-23-1,"1,3-Dichloro-2-propanol",yes,,,,
96-33-3,Methyl acrylate,yes,,U162,,
96-45-7,Ethylene thiourea,yes,10,U116,,
96-47-9,2-Methyltetrahydrofuran,yes,,,,
97-02-9,2-4-Dinitroaniline,yes,,,,
97-23-4,Dichlorophene,yes,,,,
97-56-3,o-Aminoazotoluene,yes,,,,
97-63-2,Ethyl methacrylate,yes,1000,U118,,
98-00-0,Furfuryl alcohol,yes,,,,
98-01-1,Furfural,yes,5000,U125,,
98-05-5,Benzenearsonic acid,yes,,,,10
98-06-6,tert-Butylbenzene,yes,,,,
98-07-7,Benzotrichloride,yes,10,U023,,100
98-09-9,Benzenesulfonyl chloride,yes,100,U020,,
98-13-5,Trichlorophenylsilane,yes,,,,500
98-16-8,"Benzenamine, 3-(trifluoromethyl)-",yes,,,,500
98-51-1,p-tert-Butyltoluene,yes,,,,
98-82-8,Cumene,yes,5000,U055,,
98-86-2,Acetophenone,yes,5000,U004,,
98-87-3,Benzal chloride,yes,5000,U017,,500
98-88-4,Benzoyl chloride,yes,1000,,,
98-95-3,Nitrobenzene,yes,1000,U169,,10000
99-08-1,m-Nitrotoluene,yes,1000,,,
99-30-9,Dichloran,yes,,,,
99-35-4,1-3-5-Trinitrobenzene,yes,10,U234,,
99-55-8,5-Nitro-o-toluidine,yes,100,U181,,
99-59-2,5-Nitro-o-anisidine,yes,,,,
99-65-0,1-3-Dinitrobenzene,yes,100,,,
99-87-6,p-Cymene,yes,,,,
99-98-9,Dimethyl-p-phenylenediamine,yes,,,,10
99-99-0,p-Nitrotoluene,yes,1000,,,
100-01-6,4-Nitroaniline,yes,5000,P077,,
100-02-7,4-Nitrophenol,yes,100,U170,,
100-14-1,"Benzene, 1-(chloromethyl)-4-nitro-",yes,,,,500
100-25-4,1-4-Dinitrobenzene,yes,100,,,
100-41-4,Ethylbenzene,yes,1000,,,
100-42-5,Styrene,yes,1000,,,
100-44-7,Benzyl chloride,yes,100,P028,,500
100-47-0,Benzonitrile,yes,5000,U217,,
100-75-4,N-Nitrosopiperidine,yes,10,U179,,
101-05-3,Anilazine,yes,,,,
101-14-4,4-4-Methylenebis(2-chloroaniline),yes,10,U158,,
101-27-9,Barban,yes,10,U280,,
101-55-3,4-Bromophenyl phenyl ether,yes,100,U030,,
101-61-1,"4,4'-Methylenebis(N,N- dimethyl)benzenamine",yes,,,,
101-68-8,Methylene diphenyl diisocyanate,yes,5000,,,
101-77-9,4-4-Methylenedianiline,yes,10,,,
101-80-4,"4,4'-Diaminodiphenyl ether",yes,,,,
101-90-6,Diglycidyl resorcinol ether,yes,,,,
102-36-3,"Isocyanic acid, 3,4-dichlorophenyl ester",yes,,,,500
103-65-1,n-Propylbenzene,yes,,,,
103-85-5,Phenylthiourea,yes,100,P093,,100
104-12-1,p-Chlorophenyl isocyanate,yes,,,,
104-40-5,4-Nonylphenol,yes,,,,
104-49-4,"1,4-Phenylene diisocyanate",yes,,,,
104-94-9,p-Anisidine,yes,,,,
105-46-4,sec-Butyl acetate,yes,5000,,,
105-67-9,"2,4-Dimethylphenol",yes,100,U101,,
106-42-3,"Benzene, p-dimethyl-",yes,100,U239,,
106-44-5,p-Cresol,yes,100,U052,,
106-46-7,p-Dichlorobenzene,yes,100,U072,,
106-47-8,p-Chloroaniline,yes,1000,P024,,
106-48-9,4-Chlorophenol,yes,,,,
106-49-0,p-Toluidine,yes,100,U353,,
106-50-3,p-Phenylenediamine,yes,5000,,,
106-51-4,p-Benzoquinone,yes,10,U197,,
106-88-7,"1,2-Butylene oxide",yes,100,,,
106-89-8,Epichlorohydrin,yes,100,U041,,1000
106-92-3,Allyl glycidyl ether,yes,,,,
106-93-4,Ethylene dibromide,yes,1,U067,,
106-94-5,1-Bromopropane,yes,1,,,
106-96-7,Propargyl bromide,yes,,,,10
106-97-8,Butane,yes,,,,
106-98-9,1-Butene,yes,,,,
106-99-0,1-3-Butadiene,yes,10,,,10000
107-00-6,1-Butyne,yes,,,,
107-01-7,2-Butene,yes,,,,
107-02-8,Acrolein,yes,1,P003,,500
107-05-1,Allyl chloride,yes,1000,,,
107-06-2,1-2-Dichloroethane,yes,100,U077,,
107-07-3,Ethylene chlorohydrin,yes,,P101,,500
107-10-8,n-Propylamine,yes,5000,U194,,
107-11-9,Allylamine,yes,,,,500
107-12-0,Ethyl cyanide,yes,10,P101,,500
107-13-1,Acrylonitrile,yes,100,U009,,10000
107-15-3,"1,2-Ethanediamine",yes,5000,,,10000
107-16-4,Formaldehyde cyanohydrin,yes,,,,1000
107-18-6,Allyl alcohol,yes,100,P005,,1000
107-19-7,Propargyl alcohol,yes,1000,P102,,
107-20-0,Chloroacetaldehyde,yes,1000,P023,,
107-21-1,Ethylene glycol,yes,5000,,,
107-25-5,"Ethene, methoxy-",yes,,,,
107-30-2,Chloromethyl methyl ether,yes,10,U046,,100
107-31-3,"Formic acid, methyl ester",yes,,,,
107-44-8,Sarin,yes,,,,10
107-49-3,TEPP,yes,10,P111,,100
107-87-9,2-Pentanone,yes,,,,
107-92-6,Butyric acid,yes,5000,,,
108-05-4,Vinyl acetate,yes,5000,,,1000
108-10-1,Methyl isobutyl ketone,yes,5000,U161,,
108-11-2,Methyl isobutyl carbinol,yes,,,,
108-20-3,Diisopropyl ether,yes,,,,
108-21-4,Isopropyl acetate,yes,5000,,,
108-23-6,"Carbonochloridic acid, 1-methylethyl ester",yes,,,,1000
108-24-7,Acetic anhydride,yes,5000,,,
108-31-6,Maleic anhydride,yes,5000,U147,,
108-38-3,"Benzene, m-dimethyl-",yes,1000,U239,,
108-39-4,m-Cresol,yes,100,U052,,
108-45-2,"1,3-Phenylenediamine",yes,,,,
108-46-3,Resorcinol,yes,5000,U201,,
108-60-1,Bis(2-chloro-1-methylethyl)ether,yes,1000,U027,,
108-67-8,1-3-5-Trimethylbenzene,yes,,,,
108-88-3,Toluene,yes,1000,U220,,
108-90-7,Chlorobenzene,yes,100,U037,,
108-91-8,Cyclohexanamine,yes,,,,10000
108-93-0,Cyclohexanol,yes,,,,
108-94-1,Cyclohexanone,yes,5000,U057,,
108-95-2,Phenol,yes,1000,U188,,500
108-98-5,Thiophenol,yes,100,P014,,500
109-06-8,2-Methylpyridine,yes,5000,U191,,
109-60-4,n-Propyl acetate,yes,,,,
109-61-5,"Carbonochloridic acid, propylester",yes,,,,500
109-66-0,n-Pentane,yes,,,,
109-67-1,1-Pentene,yes,,,,
109-73-9,Butylamine,yes,1000,,,
109-77-3,Malononitrile,yes,1000,U149,,500
109-86-4,2-Methoxyethanol,yes,,,,
109-87-5,Methylal (Dimethoxymethane),yes,1000,,,
109-89-7,Diethylamine,yes,100,,,
109-92-2,"Ethene, ethoxy-",yes,,,,
109-94-4,Ethyl formate,yes,,,,
109-95-5,Ethyl nitrite,yes,,,,
109-99-9,Tetrahydrofuran,yes,1000,U213,,
110-00-9,Furan,yes,100,U124,,500
110-16-7,Maleic acid,yes,5000,,,
110-17-8,Fumaric acid,yes,5000,,,
110-19-0,Isobutyl acetate,yes,5000,,,
110-43-0,2-Heptanone,yes,5000,U239,,
110-54-3,Hexane isomers,yes,5000,,,
110-57-6,trans-1-4-Dichloro-2-butene,yes,1,U074,,500
110-75-8,2-Chloroethyl vinyl ether,yes,1000,U042,,
110-80-5,2-Ethoxyethanol,yes,1000,U359,,
110-82-7,Cyclohexane,yes,1000,U056,,
110-86-1,Pyridine,yes,1000,U196,,1000
110-89-4,Piperidine,yes,,,,1000
111-41-1,N-Hydroxyethylethylenediamine,yes,,,,
111-42-2,Diethanolamine,yes,100,,,
111-44-4,bis(2-Chloroethyl) ether,yes,10,U025,,10000
111-54-6,"Ethylenebisdithiocarbamic acid, salts & esters",yes,5000,U114,,
111-65-9,n-Octane,yes,,,,
111-69-3,Adiponitrile,yes,,,,1000
111-76-2,2-Butoxyethanol,yes,,,,
111-77-3,Diethylene glycol monomethyl ether,yes,,,,
111-91-1,Bis(2-chloroethoxy) methane,yes,1000,U024,,
112-34-5,Diethylene glycol monobutyl ether,yes,,,,
114-26-1,"Phenol, 2-(1-methylethoxy)-, methylcarbamate",yes,100,U411,,
115-02-6,Azaserine,yes,1,U015,,
115-07-1,Propylene,yes,,,,
115-10-6,"Methane, oxybis-",yes,,,,
115-11-7,2-Methylpropene,yes,,,,
115-21-9,Trichloroethylsilane,yes,,,,500
115-26-4,Dimefox,yes,,,,500
115-28-6,Chlorendic acid,yes,,,,
115-29-7,Endosulfan,yes,1,P050,,10000
115-32-2,"Benzenemethanol, 4-chloro-.alpha.-4- chlorophenyl)-.alpha.-(trichloromethyl)-",yes,10,,,
115-90-2,Fensulfothion,yes,,,,500
115-96-8,Tris(2-chloroethyl) phosphate,yes,,,,
116-06-3,Aldicarb,yes,1,P070,,100
116-14-3,"Ethene, tetrafluoro-",yes,,,,
117-79-3,2-Aminoanthraquinone,yes,,,,
117-80-6,Dichlone,yes,1,,,
